SubjectID,MotorS_RT_mean,MotorS_RT_median,MotorS_RT_Std,MotorS_Missing,MotorDual_RT_mean,MotorDual_RT_median,MotorDual_RT_Std,MotorDual_Missing,Dual-task cost_RT_mean,Dual-task cost_RT_median,Dual-task cost_Std
sub-01,0.244451041666667,0.264649999999989,0.152064972952035,0,0.320966666666666,0.317150000000026,0.14777614839712,0,31.3010018195528,19.8375212545021,-2.82038951617619
sub-02,0.258788541666667,0.262650000000008,0.108337385168834,0,0.379016842105266,0.38130000000001,0.122717128157051,1.04166666666666,46.4581235568995,45.1741861793257,13.2731124771086
sub-03,0.351424999999999,0.338000000000008,0.136466772512581,0,0.441639473684201,0.402199999999993,0.401410319441824,20.8333333333333,25.6710460793061,18.9940828402319,194.145096312597
sub-04,0.40103157894737,0.38880000000006,0.102121205899107,1.04166666666666,0.607513888888897,0.591650000000072,0.160093517833384,25,51.4877931766628,52.1733539094601,56.7681427416279
sub-05,0.295263541666666,0.313450000000001,0.110961663479157,0,0.549705376344074,0.564399999999978,0.194358330749289,3.125,86.1744844084599,80.0606157281785,75.1580903307178
sub-06,0.328706249999993,0.316299999999956,0.0763676285959463,0,0.452509374999996,0.440650000000062,0.115503460944394,0,37.6637575342742,39.3139424597293,51.2466251315872
sub-07,0.272507291666666,0.265750000000004,0.114279274028968,0,0.407734374999994,0.389049999999997,0.109006526920102,0,49.6232898966752,46.3969896519253,-4.61391372466183
sub-08,0.245663541666666,0.262450000000001,0.0990292323878366,0,0.311763541666672,0.31699999999995,0.100527110896607,0,26.9067194715016,20.784911411678,1.5125619704935
sub-09,0.313088541666666,0.312449999999998,0.0629559977825642,0,0.445338947368427,0.41560000000004,0.162340035370174,1.04166666666666,42.2405767383731,33.0132821251537,157.862699485535
sub-10,0.306036458333335,0.312350000000009,0.0698639160229501,0,0.385078125000002,0.342750000000024,0.122136901793053,0,25.8275328034853,9.73267168241188,74.8211505248736
sub-11,0.283938541666664,0.266000000000012,0.151094200222936,0,0.426868831168833,0.437999999999988,0.115638614998966,19.7916666666667,50.3384600988636,64.6616541353262,-23.4658810011606
sub-12,0.32429375,0.314099999999939,0.16156608347344,0,0.52388736842105,0.489000000000033,0.198147438788194,1.04166666666666,61.54716778262,55.6829035339468,22.6417293334764
sub-13,0.367741666666665,0.365499999999997,0.0858639286639845,0,0.406737499999989,0.391549999999938,0.0972918336487499,0,10.6041378685192,7.12722298220007,13.3093199467809
sub-14,0.384268750000001,0.390100000000018,0.0891620361889959,0,0.439495833333333,0.439199999999971,0.097485229020577,0,14.3719944266434,12.5865162778649,9.3349066344094
sub-15,0.192440625,0.20205,0.13469762439051,0,0.409646315789478,0.379199999999969,0.188063842606331,1.04166666666666,112.868938556751,87.6763177431176,39.6192720230195
sub-16,0.280609374999999,0.262200000000007,0.0901556608003171,0,0.528370588235301,0.48090000000002,0.465954258643987,11.4583333333333,88.2939899051138,83.4096109839842,416.833057966282
sub-17,0.285470833333332,0.29010000000001,0.094797381616814,0,0.498304166666664,0.487799999999936,0.151208019779422,0,74.5551939048061,68.1489141675008,59.5065361516299
sub-18,0.371389583333337,0.339700000000022,0.147515521024002,0,0.671938235294117,0.641849999999977,0.139082709237276,29.1666666666667,80.9254393360368,88.9461289372786,-5.71655899541173
sub-19,0.408036458333333,0.389650000000003,0.0715842324887853,0,0.539120833333333,0.526949999999999,0.111479730436726,0,32.1256525790436,35.2367509303208,55.7322423680252
sub-20,NaN,NaN,NaN,100,NaN,NaN,NaN,100,NaN,NaN,NaN
sub-21,0.337153125000001,0.338199999999986,0.100666497801428,0,0.460947368421055,0.463599999999929,0.139154215570664,1.04166666666666,36.7175132726573,37.0786516853777,38.2328963556039
sub-22,0.427084374999996,0.390299999999996,0.146481876966419,0,0.632932631578941,0.612300000000005,0.142694895048099,1.04166666666666,48.198498617269,56.8793235972356,-2.58529041049098
sub-23,0.274985416666667,0.264849999999996,0.0737941774613222,0,0.329760416666668,0.313699999999983,0.113995536827837,0,19.9192381414172,18.4444024919721,54.4776847571555
sub-24,0.315482291666667,0.315299999999979,0.087093541962274,0,0.415968749999996,0.412399999999991,0.0661369063502271,0,31.8516953209854,30.7960672375573,-24.0622153375328
sub-25,0.408543157894738,0.389800000000008,0.0834300211957909,1.04166666666666,0.624257291666673,0.616199999999992,0.133699279016117,0,52.8008191064882,58.0810672139505,60.253200346618
sub-26,0.358912499999997,0.33959999999999,0.108258215927425,0,0.411820833333328,0.414400000000001,0.125107795976253,0,14.7412902401925,22.0259128386374,15.5642506247503
sub-27,0.295426041666668,0.289250000000003,0.0946559145368017,0,0.450895833333336,0.420649999999966,0.109823492757255,0,52.6256218949333,45.427830596357,16.0239096465081
sub-28,0.193455208333338,0.215599999999995,0.136505995140984,0,0.42673205128204,0.416399999999953,0.201253613014974,18.75,120.584421044249,93.1354359925617,47.4320690509736
sub-29,0.258210416666668,0.262699999999995,0.0847089835280226,0,0.46871458333333,0.463300000000061,0.113031355667506,0,81.5242736463295,76.36086791019,33.4349096871341
sub-30,0.354510416666669,0.339300000000009,0.0840304888016552,0,0.649997894736843,0.662800000000061,0.132054564785267,1.04166666666666,83.3508591506375,95.3433539640567,57.1507754726589
sub-31,0.305077083333332,0.289999999999996,0.0853801511250705,0,0.320684375000003,0.337549999999965,0.0718379409037406,0,5.11585186804008,16.3965517241275,-15.8610754875479
sub-32,0.361074999999997,0.363650000000064,0.109852638135197,0,0.478422105263158,0.482300000000009,0.148842688754002,1.04166666666666,32.4993713946306,32.6275264677368,35.4930489432764
sub-33,0.281054166666667,0.290250000000007,0.112503745824578,0,0.422587500000005,0.412949999999967,0.0940337478612916,0,50.3580270707027,42.2739018087704,-16.4172293357112
sub-34,0.371534375000005,0.36330000000001,0.0622569629639918,0,0.454982291666663,0.438949999999977,0.072923235766751,0,22.4603488349248,20.8230112854296,17.1326584127279
sub-35,0.359779166666666,0.341399999999986,0.137722590675808,0,0.486589010989016,0.492600000000039,0.187292848798978,5.20833333333334,35.246577920905,44.2882249560805,35.9928301376899
sub-36,0.311235416666667,0.302550000000025,0.0746884617019508,0,0.537370833333338,0.514749999999992,0.115541250703088,0,72.6573534235219,70.1371674103288,54.6975905919214
sub-37,0.162351041666666,0.164700000000011,0.131023308488698,0,0.312966666666664,0.313649999999996,0.121725969781712,0,92.7715790756901,90.4371584699305,-7.09594255726479
sub-38,0.431222105263163,0.414600000000007,0.12343300549928,1.04166666666666,0.844065591397841,0.841299999999933,0.174561593399385,3.125,95.7380155367341,102.918475639151,41.4221363996541
sub-39,0.306521875,0.312449999999998,0.0616233657037467,0,0.397339583333329,0.388950000000023,0.0914642104054215,0,29.6284590890386,24.4839174267962,48.4245616267281
sub-40,0.253815624999998,0.264250000000004,0.110607810067945,0,0.361386458333335,0.363650000000007,0.0999629653735424,0,42.3814859047146,37.6158940397356,-9.62395393947678
sub-41,0.351896875000001,0.337949999999992,0.110422287465344,0,0.499067105263162,0.513800000000003,0.164173202350983,20.8333333333333,41.8219770389152,52.0343246042359,48.6775959088046
sub-42,0.322365625000001,0.315750000000008,0.120739625752999,0,0.511657894736842,0.491700000000037,0.119972962006209,1.04166666666666,58.719743997779,55.7244655582024,-0.634972770545319
sub-43,0.333926041666665,0.34024999999999,0.116281137760616,0,0.40829895833334,0.388750000000073,0.0985236925764756,0,22.2722721161462,14.254224834705,-15.2711312652421
sub-44,0.280360416666666,0.265950000000032,0.103474405153782,0,0.420266666666663,0.391900000000021,0.119397298450131,0,49.9022835189812,47.3585260387192,15.3882433754358
sub-45,0.319819791666666,0.315599999999996,0.11639496518302,0,0.385426041666674,0.38900000000001,0.107246697649856,0,20.5135053268956,23.2572877059615,-7.85967633460649
sub-46,0.484629166666666,0.465100000000007,0.141455834220751,0,0.532189583333327,0.537599999999998,0.0925555986297905,0,9.81377513734612,15.5880455815932,-34.5692603351013
sub-47,0.184197916666668,0.213450000000002,0.106856626993634,0,0.243291666666669,0.263749999999959,0.124278939797507,0,32.0816603517509,23.5652377605795,16.3043821371145
sub-48,0.300857291666666,0.289699999999982,0.0828717166466148,0,0.391437499999999,0.366749999999968,0.0930556814069198,0,30.1073667955805,26.5964791163239,12.2888304627885
sub-49,0.230530208333332,0.240699999999997,0.0838688325771315,0,0.370506250000004,0.365949999999998,0.137161380794953,0,60.7191754515207,52.0357291233913,63.5427328367904
sub-50,0.397548958333331,0.388299999999958,0.111008916659204,0,0.52140625,0.514250000000004,0.173559581040791,0,31.1552298328041,32.4362606232447,56.3474234899669
sub-51,0.477524999999999,0.489549999999994,0.127888738650765,0,0.800745263157891,0.814300000000003,0.190795688746743,1.04166666666666,67.6865636684764,66.3364314166097,49.1888111178913
sub-52,0.31591875,0.314599999999984,0.16089109053381,0,0.369795744680856,0.363150000000019,0.229578470158224,2.08333333333334,17.0540668070052,15.4322949777612,42.6918478807745
sub-53,0.202691666666667,0.2163,0.132492576687123,0,0.522645744680846,0.51479999999998,0.232825634449834,2.08333333333334,157.852606017767,138.002773925094,75.7273050849058
sub-54,0.408270833333332,0.391300000000001,0.105841812369283,0,0.65078829787234,0.664150000000006,0.17313407686318,2.08333333333334,59.4011241407993,69.7291081012023,63.5781483589048
sub-55,0.350917708333335,0.337149999999994,0.132383696718283,0,0.503680208333339,0.491149999999948,0.141356073441866,0,43.5322858813657,45.6769983686657,6.77755414450784
sub-56,0.373062500000004,0.34039999999996,0.12533119765351,0,0.63596951219512,0.584750000000042,0.280214548176281,14.5833333333333,70.4726452525014,71.7831962397507,123.579247164748
sub-57,0.286403125,0.265849999999993,0.130117861918077,0,0.335125000000005,0.312500000000057,0.120996061701889,0,17.0116422437797,17.5474891856554,-7.01041354486106
sub-58,0.233326041666663,0.226999999999975,0.155388500722541,0,0.324568749999996,0.314849999999979,0.142279357760491,0,39.1052398958902,38.7004405286399,-8.43636620541008
sub-59,0.328254166666668,0.314500000000006,0.13958803969023,0,0.519600000000012,0.45659999999998,0.193632073245812,0,58.2919739531134,45.1828298887032,38.7168081703238
sub-60,0.383236842105264,0.339400000000069,0.136377222510609,1.04166666666666,0.537680645161298,0.483500000000049,0.152621010618425,3.125,40.2998318761882,42.4572775486008,11.9109245728718
sub-61,0.352019791666668,0.362900000000002,0.109281363191573,0,0.56154375000001,0.54604999999998,0.103134753765204,0,59.5205051799311,50.4684486084258,-5.62457243106885
sub-62,0.330065625,0.315349999999995,0.103784650348812,0,0.4333147368421,0.366499999999974,0.199438481406222,1.04166666666666,31.2813889183707,16.2200729348277,92.1656822429186
sub-63,0.261540625,0.265099999999997,0.0769125006308431,0,0.465734375000003,0.470000000000027,0.15288998440786,0,78.0734350543065,77.2915880799823,98.7843109427499
sub-64,0.298987499999991,0.3142,0.105839575972816,0,0.394101041666666,0.389900000000011,0.147768139500816,0,31.8118789804514,24.0929344366684,39.6152036160549
