"SubjectID,""MotorS_RT_mean"",""MotorS_RT_median"",""MotorS_RT_Std"",""MotorS_Missing"",""MotorDual_RT_mean"",""MotorDual_RT_median"",""MotorDual_RT_Std"",""MotorDual_Missing"",""Dual.task.cost_RT_mean.x"",""Dual.task.cost_RT_median.x"",""Dual.task.cost_Std.x"",""CogS_RT_mean"",""Cog_RT_median"",""Cog_RT_Std"",""Cog_RT_Error"",""CogDual_RT_mean"",""CogDual_RT_median"",""CogDual_RT_Std"",""CogDual_RT_Error"",""Dual.task.cost_RT_mean.y"",""Dual.task.cost_RT_median.y"",""Dual.task.cost_Std.y"""
sub-01,0.244451041666667,0.264649999999989,0.152064972952035,0,0.320966666666666,0.317150000000026,0.14777614839712,0,31.3010018195528,19.8375212545021,-2.82038951617619,0.542834210526315,0.527800000000013,0.0806847751894325,0.0526315789473684,0.605877333333327,0.58929999999998,0.118409668585026,0,11.6136974392028,11.6521409624792,46.7559007347088
sub-02,0.258788541666667,0.262650000000008,0.108337385168834,0,0.379016842105266,0.38130000000001,0.122717128157051,1.04166666666666,46.4581235568995,45.1741861793257,13.2731124771086,0.528621126760562,0.518799999999999,0.088180956667026,0,0.687014864864879,0.680849999999964,0.116448936051448,0,29.9635656022619,31.2355435620597,32.0567846538147
sub-03,0.351424999999999,0.338000000000008,0.136466772512581,0,0.441639473684201,0.402199999999993,0.401410319441824,20.8333333333333,25.6710460793061,18.9940828402319,194.145096312597,0.734114516129029,0.710399999999993,0.148381605778374,0.0909090909090909,0.917584444444447,0.883399999999938,0.136052230872009,0,24.9920038746613,24.35247747747,-8.3092340466922
sub-04,0.40103157894737,0.38880000000006,0.102121205899107,1.04166666666666,0.607513888888897,0.591650000000072,0.160093517833384,25,51.4877931766628,52.1733539094601,56.7681427416279,0.654394444444444,0.649050000000002,0.0980183841464092,0,0.741753030303027,0.731100000000026,0.158519277371457,0,13.3495304858137,12.6415530390608,61.7240263160002
sub-05,0.295263541666666,0.313450000000001,0.110961663479157,0,0.549705376344074,0.564399999999978,0.194358330749289,3.125,86.1744844084599,80.0606157281785,75.1580903307178,0.604778947368424,0.590500000000048,0.0746150767888783,0,0.646736764705875,0.606250000000045,0.130623088750607,0.0384615384615385,6.93771129435344,2.66723116003315,75.0625937438919
sub-06,0.328706249999993,0.316299999999956,0.0763676285959463,0,0.452509374999996,0.440650000000062,0.115503460944394,0,37.6637575342742,39.3139424597293,51.2466251315872,0.461442253521124,0.432999999999993,0.114606198613179,0.12,0.61919444444444,0.611249999999984,0.118200926915273,0,34.1867676225046,41.166281755195,3.1365915156358
sub-07,0.272507291666666,0.265750000000004,0.114279274028968,0,0.407734374999994,0.389049999999997,0.109006526920102,0,49.6232898966752,46.3969896519253,-4.61391372466183,0.47736543209877,0.471299999999985,0.0710612977655443,0,0.536149315068492,0.529099999999971,0.096781312939255,0,12.3142311983662,12.2639507744511,36.1941253290503
sub-09,0.313088541666666,0.312449999999998,0.0629559977825642,0,0.445338947368427,0.41560000000004,0.162340035370174,1.04166666666666,42.2405767383731,33.0132821251537,157.862699485535,0.485995774647886,0.48739999999998,0.0656818227444571,0,0.579640625000001,0.559199999999976,0.145297859059316,0.0689655172413793,19.2686552511619,14.731226918342,121.214718149061
sub-10,0.306036458333335,0.312350000000009,0.0698639160229501,0,0.385078125000002,0.342750000000024,0.122136901793053,0,25.8275328034853,9.73267168241188,74.8211505248736,0.467783582089551,0.458000000000013,0.0686352228617109,0.0689655172413793,0.435082352941178,0.404700000000048,0.107595211485822,0.037037037037037,-6.99067483349859,-11.6375545851448,56.7638407798424
sub-11,0.283938541666664,0.266000000000012,0.151094200222936,0,0.426868831168833,0.437999999999988,0.115638614998966,19.7916666666667,50.3384600988636,64.6616541353262,-23.4658810011606,0.580467164179097,0.5548,0.101318614443482,0,0.690701408450708,0.670400000000086,0.122055640114262,0.04,18.9906080953787,20.8363374189052,20.4671429674442
